2026-05-23 22:06:09 | INFO     | src.api.main | Starting youtube_hate_detector API — model: LR + TF-IDF (local)
2026-05-23 22:06:11 | INFO     | src.api.main | Model warm-up complete
2026-05-23 22:09:18 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 22:09:56 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 22:10:21 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:08:59 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:10:24 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:10:26 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:10:26 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:10:27 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:10:28 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:10:28 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:10:58 | INFO     | src.api.main | API shutdown
2026-05-23 23:12:49 | INFO     | src.api.main | Starting youtube_hate_detector API — model: LR + TF-IDF (local)
2026-05-23 23:12:51 | INFO     | src.api.main | Model warm-up complete
2026-05-23 23:12:52 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:12:57 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:13:00 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:13:01 | WARNING  | src.api.youtube | YOUTUBE_API_KEY not set — using demo comments
2026-05-23 23:27:19 | INFO     | src.api.main | API shutdown
